candidate,scenario,replication,arrival_seed,sensor_seed,overflow_incidents,overflow_bin_hours,overflow_spilled_kg,distance_km,collection_trips,collection_stops,wasted_pickups,fuel_l,unserved_required_bins,uncollected_kg_at_horizon,unfinished_trip_count,routing_fallbacks,mean_candidate_bins_per_dispatch,max_candidate_bins_per_dispatch,mean_required_bins_per_dispatch,optional_only_dispatches,mean_forecast_growth_pct_per_hour,mean_overflow_probability_48h
legacy_v2,high_demand_seasonal,0,9822026,9832026,19.0,332.0,1154.407181965789,1977.853000000001,55.0,498.0,46.0,1185.3508229634874,1.0,10224.051142772369,0,0.0,24.454545454545453,38.0,1.7272727272727273,1.0,0.9923934999662476,0.27751218138916356
legacy_v2,high_demand_seasonal,1,9822127,9832129,15.0,122.0,380.56791459417576,1658.0730000000008,45.0,437.0,61.0,998.8224840207444,1.0,12294.925379717904,0,0.0,26.555555555555557,40.0,2.1481481481481484,4.0,0.9949589375156495,0.3014793456448986
legacy_v2,high_demand_seasonal,2,9822228,9832232,27.0,298.0,854.4908280044024,1788.3380000000006,47.0,467.0,27.0,1084.5265737148156,0.0,8235.56755829492,0,0.0,23.9,43.0,1.7,3.0,0.9786131532231468,0.3047605477206776
legacy_v2,high_demand_seasonal,3,9822329,9832335,18.0,168.0,508.36989761505504,2018.2540000000015,56.0,497.0,47.0,1230.201277267614,0.0,10380.72651838798,0,0.0,23.40625,39.0,1.5625,3.0,0.9948211318927141,0.27690688225604676
route_2opt_v3,high_demand_seasonal,0,9822026,9832026,19.0,332.0,1154.407181965789,1977.7880000000007,55.0,498.0,46.0,1185.3588089561656,1.0,10224.051142772369,0,0.0,24.454545454545453,38.0,1.7272727272727273,1.0,0.9923934999662476,0.2775117403666271
route_2opt_v3,high_demand_seasonal,1,9822127,9832129,15.0,122.0,380.56791459417576,1658.0730000000008,45.0,437.0,61.0,998.8224840207444,1.0,12294.925379717904,0,0.0,26.555555555555557,40.0,2.1481481481481484,4.0,0.9949589375156495,0.3014793456448986
route_2opt_v3,high_demand_seasonal,2,9822228,9832232,27.0,397.0,1071.1447388182694,1824.5879999999997,48.0,464.0,30.0,1097.3941853232707,0.0,10751.756628702173,0,0.0,24.266666666666666,43.0,1.9666666666666666,2.0,0.9776684768875429,0.29935525882320296
route_2opt_v3,high_demand_seasonal,3,9822329,9832335,18.0,168.0,508.36989761505504,2018.2540000000015,56.0,497.0,47.0,1230.201277267614,0.0,10380.72651838798,0,0.0,23.40625,39.0,1.5625,3.0,0.9948211318927141,0.27690688225604676
legacy_v2,normal_patterned,0,9822026,9832026,3.0,70.0,87.90564176340207,1479.803,41.0,354.0,31.0,912.9953719953666,0.0,5963.885281642439,0,0.0,23.8,40.0,0.96,7.0,1.008629120809973,0.25522613873387756
legacy_v2,normal_patterned,1,9822127,9832129,0.0,0.0,0.0,1238.8819999999996,34.0,311.0,40.0,763.6577764920746,0.0,9972.514937745907,0,0.0,26.857142857142858,43.0,0.9523809523809523,7.0,0.9964271100275649,0.25377561799677717
legacy_v2,normal_patterned,2,9822228,9832232,6.0,162.0,161.19684139930342,1307.8919999999987,36.0,314.0,16.0,813.3479281419467,2.0,10967.702237847076,0,0.0,23.44,42.0,0.96,7.0,0.9760642343639164,0.23819755449170532
legacy_v2,normal_patterned,3,9822329,9832335,1.0,35.0,58.90124143344157,1528.578999999999,43.0,363.0,48.0,924.9703438161386,0.0,7311.073481824758,0,0.0,25.16,39.0,0.92,7.0,1.0202001917592411,0.2414878453544383
route_2opt_v3,normal_patterned,0,9822026,9832026,3.0,70.0,87.90564176340207,1480.0970000000002,41.0,354.0,31.0,913.1280965317484,0.0,5963.885281642439,0,0.0,23.8,40.0,0.96,7.0,1.0086623650357172,0.25527710467128556
route_2opt_v3,normal_patterned,1,9822127,9832129,0.0,0.0,0.0,1226.406999999999,34.0,307.0,31.0,765.3683176656884,0.0,8511.50585429492,0,0.0,25.761904761904763,43.0,1.0952380952380953,6.0,1.0060019192927327,0.2529281067685399
route_2opt_v3,normal_patterned,2,9822228,9832232,7.0,345.0,316.03804818926795,1460.8879999999992,41.0,331.0,30.0,879.8439399671885,0.0,10287.198054728677,0,0.0,23.583333333333332,41.0,0.875,6.0,0.9819651354727013,0.2457601520396047
route_2opt_v3,normal_patterned,3,9822329,9832335,1.0,35.0,58.90124143344157,1528.560999999999,43.0,363.0,49.0,924.901579925171,0.0,7311.073481824758,0,0.0,25.16,39.0,0.92,7.0,1.020211821719684,0.2415391019474074
