candidate,scenario,replication,arrival_seed,sensor_seed,overflow_incidents,overflow_bin_hours,overflow_spilled_kg,distance_km,collection_trips,collection_stops,wasted_pickups,fuel_l,unserved_required_bins,uncollected_kg_at_horizon,unfinished_trip_count,routing_fallbacks
current_90,high_demand_seasonal,0,9422026,9432026,13.0,76.0,163.7137823592273,1837.7759999999998,52.0,450.0,48.0,1113.9033242280875,0.0,9342.251236637716,0,0.0
current_90,high_demand_seasonal,1,9422127,9432129,18.0,220.0,602.7659994301862,1816.8670000000013,49.0,492.0,51.0,1104.4377420280673,0.0,10414.615452846252,0,0.0
current_90,high_demand_seasonal,2,9422228,9432232,30.0,450.0,1344.6254282400362,1779.228000000001,47.0,466.0,31.0,1065.705746641262,0.0,13116.102853279051,0,0.0
current_90,high_demand_seasonal,3,9422329,9432335,9.0,59.0,213.12903368935417,1743.3739999999993,47.0,465.0,48.0,1055.4650187290108,0.0,10011.200322686283,0,0.0
three_hour_fill_93,high_demand_seasonal,0,9422026,9432026,8.0,57.0,208.2586022879443,1792.1610000000005,50.0,452.0,42.0,1090.0527742111358,0.0,7716.501137008185,1,0.0
three_hour_fill_93,high_demand_seasonal,1,9422127,9432129,15.0,212.0,567.5755566879728,1930.8700000000003,54.0,481.0,47.0,1186.2397955401862,0.0,11164.197960036896,0,0.0
three_hour_fill_93,high_demand_seasonal,2,9422228,9432232,23.0,385.0,967.4450329738477,1935.8100000000006,55.0,465.0,25.0,1186.8515025304403,0.0,10746.059036647375,0,0.0
three_hour_fill_93,high_demand_seasonal,3,9422329,9432335,10.0,154.0,433.6301971368483,1880.163999999999,52.0,464.0,37.0,1142.7459455231094,0.0,7243.139290778655,1,0.0
current_90,normal_patterned,0,9422026,9432026,3.0,27.0,77.2926778013909,1256.103999999999,36.0,311.0,40.0,756.6527777687214,0.0,9440.676173986172,0,0.0
current_90,normal_patterned,1,9422127,9432129,3.0,136.0,251.37326867450258,1456.8,41.0,351.0,33.0,863.9168117095628,0.0,6176.171706592674,0,0.0
current_90,normal_patterned,2,9422228,9432232,9.0,220.0,355.25632841386556,1500.8100000000002,43.0,339.0,32.0,901.216392772732,0.0,6240.513368234377,0,0.0
current_90,normal_patterned,3,9422329,9432335,7.0,70.0,143.83075524994376,1447.4299999999996,42.0,332.0,35.0,872.1840334501769,0.0,4608.157819613326,0,0.0
three_hour_fill_93,normal_patterned,0,9422026,9432026,2.0,7.0,17.10089629383458,1274.144,36.0,300.0,31.0,760.3128561876715,0.0,10310.609679224028,0,0.0
three_hour_fill_93,normal_patterned,1,9422127,9432129,6.0,117.0,306.1583695105787,1347.1419999999998,40.0,323.0,21.0,821.5368309126344,0.0,9129.22105533313,1,0.0
three_hour_fill_93,normal_patterned,2,9422228,9432232,2.0,6.0,15.026594176179998,1480.056000000001,43.0,338.0,33.0,885.4654919129425,0.0,9229.658183395883,1,0.0
three_hour_fill_93,normal_patterned,3,9422329,9432335,2.0,2.0,15.335370420497384,1259.847,36.0,313.0,34.0,792.1615997319523,0.0,8375.36627226259,0,0.0
