candidate,scenario,replication,arrival_seed,sensor_seed,overflow_incidents,overflow_bin_hours,overflow_spilled_kg,distance_km,collection_trips,collection_stops,wasted_pickups,fuel_l,unserved_required_bins,uncollected_kg_at_horizon,unfinished_trip_count,routing_fallbacks
current_90,high_demand_seasonal,0,9222026,9232026,20.0,125.0,506.3778408475408,1972.1180000000008,55.0,498.0,61.0,1190.1991973913819,0.0,11813.203459237084,0,0.0
current_90,high_demand_seasonal,1,9222127,9232129,23.0,510.0,1481.086589942313,1875.9020000000007,51.0,487.0,42.0,1142.6600250235292,0.0,12687.695556166338,0,0.0
three_hour_fill_93_gap_96,high_demand_seasonal,0,9222026,9232026,16.0,158.0,843.5624692624867,1847.0050000000024,50.0,472.0,28.0,1126.7637271116514,0.0,12013.395867182348,0,0.0
three_hour_fill_93_gap_96,high_demand_seasonal,1,9222127,9232129,36.0,347.0,1754.5183544137312,1877.7130000000004,53.0,454.0,11.0,1136.5621067207187,0.0,14828.599811661988,0,0.0
three_hour_fill_93_strict,high_demand_seasonal,0,9222026,9232026,18.0,234.0,793.7340186345784,1835.0810000000008,48.0,477.0,24.0,1111.1228726159932,0.0,10927.713271697618,0,0.0
three_hour_fill_93_strict,high_demand_seasonal,1,9222127,9232129,28.0,309.0,1017.5650884692961,1823.1440000000011,49.0,458.0,18.0,1120.1916897544536,0.0,12570.421916247928,0,0.0
current_90,normal_patterned,0,9222026,9232026,0.0,0.0,0.0,1541.123000000001,44.0,365.0,56.0,922.1901599471704,0.0,7593.708575952498,0,0.0
current_90,normal_patterned,1,9222127,9232129,8.0,50.0,180.51381395971316,1336.6329999999994,37.0,352.0,24.0,833.2370942937105,0.0,5116.98510983426,1,0.0
three_hour_fill_93_gap_96,normal_patterned,0,9222026,9232026,2.0,8.0,12.389105252258346,1406.0699999999986,38.0,341.0,33.0,855.3387018467248,0.0,8207.011130566056,0,0.0
three_hour_fill_93_gap_96,normal_patterned,1,9222127,9232129,6.0,94.0,154.89463334742535,1272.3049999999996,35.0,321.0,11.0,780.9304357269685,0.0,8946.3241963819,0,0.0
three_hour_fill_93_strict,normal_patterned,0,9222026,9232026,7.0,161.0,196.45890298999277,1379.5529999999992,38.0,327.0,27.0,840.1120353533207,0.0,9018.092359825881,0,0.0
three_hour_fill_93_strict,normal_patterned,1,9222127,9232129,9.0,181.0,299.50296211595236,1407.6419999999994,40.0,322.0,11.0,865.1156038886394,0.0,7980.880407446515,0,0.0
