bin_id,node_id,latitude,longitude,households,commercial_units,capacity_kg,area_type,bin_type,waste_stream,material_type,destination_id,capacity_litres,bulk_density_kg_per_m3,demand_rate_multiplier,controller_id,controller_channel,site_id,site_label,requested_latitude,requested_longitude,snap_distance_m,service_index
UGB-001,OSRM-SERVICE-02,3.07528,101.575341,12,1,540.0,residential,general_waste,mixed_general_waste,mixed_general_waste,waste_depot,4500,120,1.36,SIM-GROUP-001,1,SJ-01,SS12 residential cluster,3.0754,101.5755,22.10116821,2
UGB-002,OSRM-SERVICE-02,3.07528,101.575341,12,0,112.5,residential,recycling_plastic,dry_recycling,plastic_cups,recycling_facility,4500,25,0.28,SIM-GROUP-001,2,SJ-01,SS12 residential cluster,3.0754,101.5755,22.10116821,2
UGB-003,OSRM-SERVICE-02,3.07528,101.575341,11,0,315.0,residential,recycling_metal,dry_recycling,metal_cans,recycling_facility,4500,70,0.4,SIM-GROUP-001,3,SJ-01,SS12 residential cluster,3.0754,101.5755,22.10116821,2
UGB-004,OSRM-SERVICE-02,3.07528,101.575341,11,0,1125.0,residential,recycling_glass,dry_recycling,glass_bottles,recycling_facility,4500,250,1.96,SIM-GROUP-001,4,SJ-01,SS12 residential cluster,3.0754,101.5755,22.10116821,2
UGB-005,OSRM-SERVICE-03,3.076501,101.584349,12,1,540.0,residential,general_waste,mixed_general_waste,mixed_general_waste,waste_depot,4500,120,1.36,SIM-GROUP-002,1,SJ-02,SS13 residential cluster,3.0765,101.5844,5.670252612,3
UGB-006,OSRM-SERVICE-03,3.076501,101.584349,12,0,112.5,residential,recycling_plastic,dry_recycling,plastic_cups,recycling_facility,4500,25,0.28,SIM-GROUP-002,2,SJ-02,SS13 residential cluster,3.0765,101.5844,5.670252612,3
UGB-007,OSRM-SERVICE-03,3.076501,101.584349,11,0,315.0,residential,recycling_metal,dry_recycling,metal_cans,recycling_facility,4500,70,0.4,SIM-GROUP-002,3,SJ-02,SS13 residential cluster,3.0765,101.5844,5.670252612,3
UGB-008,OSRM-SERVICE-03,3.076501,101.584349,11,0,1125.0,residential,recycling_glass,dry_recycling,glass_bottles,recycling_facility,4500,250,1.96,SIM-GROUP-002,4,SJ-02,SS13 residential cluster,3.0765,101.5844,5.670252612,3
UGB-009,OSRM-SERVICE-04,3.071135,101.5877,12,1,540.0,residential,general_waste,mixed_general_waste,mixed_general_waste,waste_depot,4500,120,1.36,SIM-GROUP-003,1,SJ-03,SS14 residential cluster,3.071,101.5877,14.92795858,4
UGB-010,OSRM-SERVICE-04,3.071135,101.5877,12,0,112.5,residential,recycling_plastic,dry_recycling,plastic_cups,recycling_facility,4500,25,0.28,SIM-GROUP-003,2,SJ-03,SS14 residential cluster,3.071,101.5877,14.92795858,4
UGB-011,OSRM-SERVICE-04,3.071135,101.5877,11,0,315.0,residential,recycling_metal,dry_recycling,metal_cans,recycling_facility,4500,70,0.4,SIM-GROUP-003,3,SJ-03,SS14 residential cluster,3.071,101.5877,14.92795858,4
