scenario,policy,forecast_driven_dispatches,capacity_constrained_decisions,dispatch_limit_blocks,sensor_uncertainty_decisions
abrupt_behavior_change,fixed,0.0,0.0,0.0,8.5
abrupt_behavior_change,smart,29.0,0.0,1.0,113.0
combined_demand_operational_stress,fixed,0.0,5.5,0.0,9.0
combined_demand_operational_stress,smart,54.0,6.0,15.0,105.0
event_heavy,fixed,0.0,0.0,0.0,8.5
event_heavy,smart,22.5,0.0,0.0,114.5
gradual_upward_trend,fixed,0.0,0.0,0.0,8.5
gradual_upward_trend,smart,25.0,0.5,0.0,114.0
high_demand_seasonal,fixed,0.0,0.0,0.0,8.5
high_demand_seasonal,smart,31.5,1.0,0.0,113.5
localized_surge,fixed,0.0,0.0,0.0,8.5
localized_surge,smart,25.0,0.0,0.0,113.5
normal_patterned,fixed,0.0,0.0,0.0,8.5
normal_patterned,smart,24.0,0.0,0.0,114.0
persistent_multi_day_surge,fixed,0.0,0.0,0.0,8.5
persistent_multi_day_surge,smart,26.5,0.0,0.0,114.5
reduced_truck_capacity,fixed,0.0,0.0,0.0,8.5
reduced_truck_capacity,smart,23.5,0.0,1.0,112.5
sensor_failure,fixed,0.0,0.0,0.0,9.0
sensor_failure,smart,41.5,2.5,2.5,117.5
traffic_disruption,fixed,0.0,0.0,0.0,8.5
traffic_disruption,smart,24.0,0.0,0.0,114.0
