policy,scenario,replication,overflow_incidents,overflow_bin_hours,overflow_spilled_kg,distance_km,travel_time_hours,service_time_hours,depot_unloading_time_hours,turnaround_time_hours,idling_time_hours,collection_trips,collection_stops,wasted_pickups,collected_kg,mean_fill_at_collection_pct,truck_utilization_pct,unserved_required_bins,inspection_events,base_driving_fuel_l,traffic_fuel_penalty_l,payload_fuel_penalty_l,driving_fuel_l,collection_idle_fuel_l,depot_idle_fuel_l,fuel_l,co2_kg,routing_fallbacks,forecast_driven_dispatches,capacity_constrained_decisions,dispatch_limit_blocks,sensor_uncertainty_decisions,overflow_incidents_post_warmup,overflow_bin_hours_post_warmup,overflow_spilled_kg_post_warmup,distance_km_post_warmup,travel_time_hours_post_warmup,service_time_hours_post_warmup,depot_unloading_time_hours_post_warmup,turnaround_time_hours_post_warmup,idling_time_hours_post_warmup,collection_trips_post_warmup,collection_stops_post_warmup,wasted_pickups_post_warmup,collected_kg_post_warmup,mean_fill_at_collection_pct_post_warmup,truck_utilization_pct_post_warmup,unserved_required_bins_post_warmup,inspection_events_post_warmup,base_driving_fuel_l_post_warmup,traffic_fuel_penalty_l_post_warmup,payload_fuel_penalty_l_post_warmup,driving_fuel_l_post_warmup,collection_idle_fuel_l_post_warmup,depot_idle_fuel_l_post_warmup,fuel_l_post_warmup,co2_kg_post_warmup,routing_fallbacks_post_warmup,forecast_driven_dispatches_post_warmup,capacity_constrained_decisions_post_warmup,dispatch_limit_blocks_post_warmup,sensor_uncertainty_decisions_post_warmup,uncollected_kg_at_horizon,unfinished_trip_count,analysis_warmup_days
fixed,normal_patterned,0,2.0,59.0,310.4108449108131,476.1669999999999,15.607594444444452,39.5999999999999,5.333333333333332,1.1666666666666665,44.93333333333324,16.0,296.0,72.0,96699.0590064321,60.49740928830832,67.1521243100223,1.0,13.0,214.27514999999994,30.586972500000027,12.071379112954613,256.93350161295456,118.80000000000061,16.0,391.73350161295514,1049.8457843227197,0.0,0.0,0.0,0.0,6.0,2.0,59.0,310.4108449108131,476.1669999999999,15.607594444444452,39.5999999999999,5.333333333333332,1.1666666666666665,44.93333333333324,16.0,296.0,72.0,96699.0590064321,60.49740928830832,67.1521243100223,1.0,13.0,214.27514999999994,30.586972500000027,12.071379112954613,256.93350161295456,118.80000000000061,16.0,391.73350161295514,1049.8457843227197,0.0,0.0,0.0,0.0,6.0,9731.337367810786,0,3
smart,normal_patterned,0,0.0,0.0,0.0,665.996,18.18166944444445,38.26666666666657,7.33333333333333,0.5,45.5999999999999,22.0,287.0,57.0,96891.70187314341,62.51884234942798,48.935202966234044,0.0,127.0,299.69820000000004,8.808165,11.555002225048653,320.0613672250487,114.80000000000055,22.0,456.8613672250492,1224.3884641631319,0.0,19.0,0.0,7.0,81.0,0.0,0.0,0.0,665.996,18.18166944444445,38.26666666666657,7.33333333333333,0.5,45.5999999999999,22.0,287.0,57.0,96891.70187314341,62.51884234942798,48.935202966234044,0.0,112.0,299.69820000000004,8.808165,11.555002225048653,320.0613672250487,114.80000000000055,22.0,456.8613672250492,1224.3884641631319,0.0,19.0,0.0,7.0,71.0,9849.105346010248,0,3
fixed,high_demand_seasonal,0,92.0,1085.0,8450.861784971103,517.352,16.508106944444457,39.46666666666657,5.999999999999998,1.5,45.46666666666657,18.0,295.0,1.0,134421.65754727804,84.38271032471945,82.97633181930743,2.0,13.0,232.8084,31.069507500000018,16.323568223538206,280.20147572353824,118.4000000000006,18.0,416.60147572353884,1116.491954939084,0.0,0.0,1.0,0.0,6.0,92.0,1085.0,8450.861784971103,517.352,16.508106944444457,39.46666666666657,5.999999999999998,1.5,45.46666666666657,18.0,295.0,1.0,134421.65754727804,84.38271032471945,82.97633181930743,2.0,13.0,232.8084,31.069507500000018,16.323568223538206,280.20147572353824,118.4000000000006,18.0,416.60147572353884,1116.491954939084,0.0,0.0,1.0,0.0,6.0,14660.528956244483,0,3
smart,high_demand_seasonal,0,2.0,5.0,41.48363470487459,953.0909999999999,27.49282083333335,55.066666666666514,10.0,0.6666666666666666,65.06666666666652,30.0,412.0,50.0,148131.30465691374,66.5818521471205,54.86344616922731,1.0,138.0,428.8909499999998,31.06955250000002,19.9061348082866,479.86663730828644,165.20000000000127,30.0,675.0666373082877,1809.1785879862111,0.0,26.0,0.0,4.0,85.0,2.0,5.0,41.48363470487459,906.7139999999997,26.03263611111113,51.06666666666653,9.666666666666666,0.5,60.73333333333319,28.0,382.0,50.0,136634.56823020746,66.23742884923759,54.22006675801883,1.0,123.0,408.0212999999997,28.555785000000014,19.050512089850738,455.62759708985044,153.2000000000011,29.0,637.8275970898516,1709.3779602008024,0.0,25.0,0.0,4.0,75.0,9360.259996875027,0,3
fixed,event_heavy,0,3.0,10.0,37.37732111021489,457.75999999999993,14.684077777777787,39.5999999999999,4.999999999999999,0.9999999999999999,44.5999999999999,15.0,297.0,102.0,93097.19202622955,58.047881298309946,68.96088298239225,0.0,13.0,205.99199999999993,28.248885000000012,12.051558307946472,246.2924433079464,118.80000000000061,15.0,380.092443307947,1018.6477480652981,0.0,0.0,0.0,0.0,6.0,3.0,10.0,37.37732111021489,457.75999999999993,14.684077777777787,39.5999999999999,4.999999999999999,0.9999999999999999,44.5999999999999,15.0,297.0,102.0,93097.19202622955,58.047881298309946,68.96088298239225,0.0,13.0,205.99199999999993,28.248885000000012,12.051558307946472,246.2924433079464,118.80000000000061,15.0,380.092443307947,1018.6477480652981,0.0,0.0,0.0,0.0,6.0,9139.407298650407,0,3
smart,event_heavy,0,0.0,0.0,0.0,652.2439999999996,18.618784722222237,35.73333333333325,7.33333333333333,0.6666666666666666,43.06666666666658,22.0,267.0,19.0,94840.85869276157,65.77948307168926,47.899423582202814,1.0,142.0,293.5097999999999,19.379295000000003,11.911588095570256,324.8006830955702,107.20000000000044,22.0,454.00068309557065,1216.7218306961295,0.0,18.0,0.0,1.0,87.0,0.0,0.0,0.0,652.2439999999996,18.618784722222237,35.73333333333325,7.33333333333333,0.6666666666666666,43.06666666666658,22.0,267.0,19.0,94840.85869276157,65.77948307168926,47.899423582202814,1.0,127.0,293.5097999999999,19.379295000000003,11.911588095570256,324.8006830955702,107.20000000000044,22.0,454.00068309557065,1216.7218306961295,0.0,18.0,0.0,1.0,77.0,7433.117953228552,0,3
fixed,persistent_multi_day_surge,0,35.0,634.0,5746.663398460718,496.18999999999994,16.161962500000005,39.46666666666657,5.666666666666665,1.3333333333333333,45.13333333333323,17.0,295.0,35.0,109547.58206546701,68.76809922502645,71.59972684017453,2.0,13.0,223.28549999999996,31.763362500000024,13.318505960803371,268.36736846080333,118.4000000000006,17.0,403.76736846080394,1082.0965474749546,0.0,0.0,1.0,0.0,6.0,35.0,634.0,5746.663398460718,496.18999999999994,16.161962500000005,39.46666666666657,5.666666666666665,1.3333333333333333,45.13333333333323,17.0,295.0,35.0,109547.58206546701,68.76809922502645,71.59972684017453,2.0,13.0,223.28549999999996,31.763362500000024,13.318505960803371,268.36736846080333,118.4000000000006,17.0,403.76736846080394,1082.0965474749546,0.0,0.0,1.0,0.0,6.0,9731.337367810786,0,3
smart,persistent_multi_day_surge,0,0.0,0.0,0.0,764.3219999999994,21.412794444444447,45.19999999999988,8.33333333333333,0.8333333333333333,53.53333333333321,25.0,339.0,34.0,119778.34194215895,65.43119301986191,53.23481864095954,0.0,125.0,343.94489999999996,12.198599999999997,14.873850410040921,371.0173504100409,135.60000000000085,25.0,531.6173504100417,1424.7344990989118,0.0,20.0,0.0,11.0,79.0,0.0,0.0,0.0,764.3219999999994,21.412794444444447,45.19999999999988,8.33333333333333,0.8333333333333333,53.53333333333321,25.0,339.0,34.0,119778.34194215895,65.43119301986191,53.23481864095954,0.0,110.0,343.94489999999996,12.198599999999997,14.873850410040921,371.0173504100409,135.60000000000085,25.0,531.6173504100417,1424.7344990989118,0.0,20.0,0.0,11.0,69.0,5247.240889579338,0,3
fixed,localized_surge,0,14.0,213.0,2087.802755019096,492.58599999999996,15.881772222222232,39.5999999999999,5.666666666666665,1.3333333333333333,45.266666666666566,17.0,297.0,60.0,100800.14638938109,62.85082079397745,65.88244862051052,0.0,13.0,221.66369999999995,31.233217500000002,12.363021759487197,265.25993925948717,118.80000000000061,17.0,401.0599392594878,1074.8406372154275,0.0,0.0,0.0,0.0,6.0,14.0,213.0,2087.802755019096,492.58599999999996,15.881772222222232,39.5999999999999,5.666666666666665,1.3333333333333333,45.266666666666566,17.0,297.0,60.0,100800.14638938109,62.85082079397745,65.88244862051052,0.0,13.0,221.66369999999995,31.233217500000002,12.363021759487197,265.25993925948717,118.80000000000061,17.0,401.0599392594878,1074.8406372154275,0.0,0.0,0.0,0.0,6.0,9785.795677786748,0,3
smart,localized_surge,0,1.0,6.0,29.81228154590906,715.3449999999997,20.096229166666678,42.66666666666656,7.666666666666663,0.5,50.33333333333322,23.0,320.0,55.0,108920.69597905317,63.03281017306311,52.61869370968752,0.0,127.0,321.90524999999985,14.713357500000003,13.61554214432173,350.23414964432163,128.00000000000074,23.0,501.2341496443224,1343.3075210467841,0.0,20.0,0.0,9.0,80.0,1.0,6.0,29.81228154590906,715.3449999999997,20.096229166666678,42.66666666666656,7.666666666666663,0.5,50.33333333333322,23.0,320.0,55.0,108920.69597905317,63.03281017306311,52.61869370968752,0.0,112.0,321.90524999999985,14.713357500000003,13.61554214432173,350.23414964432163,128.00000000000074,23.0,501.2341496443224,1343.3075210467841,0.0,20.0,0.0,9.0,70.0,3723.2365615878025,0,3
