policy,scenario,replication,overflow_incidents,overflow_bin_hours,overflow_spilled_kg,distance_km,travel_time_hours,service_time_hours,depot_unloading_time_hours,turnaround_time_hours,idling_time_hours,collection_trips,collection_stops,wasted_pickups,collected_kg,mean_fill_at_collection_pct,truck_utilization_pct,unserved_required_bins,inspection_events,base_driving_fuel_l,traffic_fuel_penalty_l,payload_fuel_penalty_l,driving_fuel_l,collection_idle_fuel_l,depot_idle_fuel_l,fuel_l,co2_kg,routing_fallbacks,forecast_driven_dispatches,capacity_constrained_decisions,dispatch_limit_blocks,sensor_uncertainty_decisions,overflow_incidents_post_warmup,overflow_bin_hours_post_warmup,overflow_spilled_kg_post_warmup,distance_km_post_warmup,travel_time_hours_post_warmup,service_time_hours_post_warmup,depot_unloading_time_hours_post_warmup,turnaround_time_hours_post_warmup,idling_time_hours_post_warmup,collection_trips_post_warmup,collection_stops_post_warmup,wasted_pickups_post_warmup,collected_kg_post_warmup,mean_fill_at_collection_pct_post_warmup,truck_utilization_pct_post_warmup,unserved_required_bins_post_warmup,inspection_events_post_warmup,base_driving_fuel_l_post_warmup,traffic_fuel_penalty_l_post_warmup,payload_fuel_penalty_l_post_warmup,driving_fuel_l_post_warmup,collection_idle_fuel_l_post_warmup,depot_idle_fuel_l_post_warmup,fuel_l_post_warmup,co2_kg_post_warmup,routing_fallbacks_post_warmup,forecast_driven_dispatches_post_warmup,capacity_constrained_decisions_post_warmup,dispatch_limit_blocks_post_warmup,sensor_uncertainty_decisions_post_warmup,uncollected_kg_at_horizon,unfinished_trip_count,analysis_warmup_days,overflow_bin_hours_glass_bottles,overflow_incidents_glass_bottles,overflow_spilled_kg_glass_bottles,overflow_bin_hours_metal_cans,overflow_incidents_metal_cans,overflow_spilled_kg_metal_cans,overflow_bin_hours_mixed_general_waste,overflow_incidents_mixed_general_waste,overflow_spilled_kg_mixed_general_waste,overflow_bin_hours_plastic_cups,overflow_incidents_plastic_cups,overflow_spilled_kg_plastic_cups
fixed,normal_patterned,0,2.0,12.438833333333362,101.50537543175187,594.1539999999997,21.30141666666667,52.799999999999855,6.333333333333331,0.16666666666666666,59.133333333333184,19.0,396.0,216.0,97148.11221208076,49.77249039095815,56.8117615275326,0.0,25.0,267.3692999999999,46.950030000000005,13.79324738486774,328.1125773848677,158.40000000000117,19.0,505.51257738486885,1354.7737073914486,0.0,0.0,0.0,0.0,8.0,2.0,12.438833333333362,101.50537543175187,594.1539999999997,21.30141666666667,52.799999999999855,6.333333333333331,0.16666666666666666,59.133333333333184,19.0,396.0,216.0,97148.11221208076,49.77249039095815,56.8117615275326,0.0,25.0,267.3692999999999,46.950030000000005,13.79324738486774,328.1125773848677,158.40000000000117,19.0,505.51257738486885,1354.7737073914486,0.0,0.0,0.0,0.0,8.0,9939.505359158118,0,3,0.0,0.0,0.0,0.0,0.0,0.0,12.438833333333362,2.0,101.50537543175187,0.0,0.0,0.0
smart,normal_patterned,0,1.0,0.2657222222222117,0.3603031908101286,804.2019999999994,24.56748750000002,43.19999999999989,10.0,0.0,53.19999999999989,30.0,324.0,44.0,98543.91714269572,62.27987217088801,36.4977470898873,0.0,312.0,361.8908999999998,26.82652500000001,11.19479535515213,399.91222035515193,129.60000000000076,30.0,559.5122203551527,1499.4927505518094,0.0,22.0,0.0,0.0,112.0,1.0,0.2657222222222117,0.3603031908101286,804.2019999999994,24.56748750000002,43.19999999999989,10.0,0.0,53.19999999999989,30.0,324.0,44.0,98543.91714269572,62.27987217088801,36.4977470898873,0.0,289.0,361.8908999999998,26.82652500000001,11.19479535515213,399.91222035515193,129.60000000000076,30.0,559.5122203551527,1499.4927505518094,0.0,22.0,0.0,0.0,102.0,8644.845500784077,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2657222222222117,1.0,0.3603031908101286
fixed,high_demand_seasonal,0,79.0,865.825194444446,4990.582145360786,615.4019999999997,21.813787500000007,52.799999999999855,8.33333333333333,1.1666666666666665,61.133333333333184,25.0,396.0,101.0,138054.45331057612,69.91648459028336,61.3575348047005,0.0,24.0,276.93089999999984,45.0984825,17.33525441219911,339.36463691219893,158.40000000000117,25.0,522.7646369122001,1401.0092269246963,0.0,0.0,0.0,0.0,8.0,79.0,865.825194444446,4990.582145360786,615.4019999999997,21.813787500000007,52.799999999999855,8.33333333333333,1.1666666666666665,61.133333333333184,25.0,396.0,101.0,138054.45331057612,69.91648459028336,61.3575348047005,0.0,24.0,276.93089999999984,45.0984825,17.33525441219911,339.36463691219893,158.40000000000117,25.0,522.7646369122001,1401.0092269246963,0.0,0.0,0.0,0.0,8.0,14635.954296344064,0,3,0.0,0.0,0.0,0.0,0.0,0.0,466.6309180555561,42.0,4337.405073884026,399.19427638888953,37.0,653.177071476759
smart,high_demand_seasonal,0,2.0,3.5902166666665534,22.166841848506778,1281.089,40.218348611111104,64.2666666666665,16.666666666666675,0.0,80.93333333333317,50.0,482.0,73.0,151136.13272334595,63.87042618834704,33.585807271854655,0.0,311.0,576.4900500000001,62.63158500000001,17.09692663584536,656.2185616358454,192.80000000000166,50.0,899.018561635847,2409.3697451840703,0.0,28.0,0.0,1.0,109.0,2.0,3.5902166666665534,22.166841848506778,1207.1510000000003,37.637965277777774,60.93333333333316,15.666666666666677,0.0,76.59999999999984,47.0,457.0,72.0,143896.99141192183,63.50370229579983,34.01820127941414,0.0,288.0,543.2179499999999,56.75874749999999,16.081444700263173,616.0581422002631,182.80000000000152,47.0,845.8581422002646,2266.8998210967093,0.0,27.0,0.0,1.0,99.0,6522.690187086297,0,3,0.7494680555554927,1.0,13.135302834798267,0.0,0.0,0.0,0.0,0.0,0.0,2.8407486111110605,1.0,9.03153901370851
fixed,event_heavy,0,4.0,19.834706944444466,124.92069797821046,592.5419999999997,21.251100000000005,52.799999999999855,5.999999999999998,0.0,58.799999999999855,18.0,396.0,229.0,93521.58084870208,47.83885859300761,57.72937089426054,0.0,25.0,266.6438999999999,47.323845,13.468563496499545,327.43630849649946,158.40000000000117,18.0,503.83630849650064,1350.2813067706218,0.0,0.0,0.0,0.0,8.0,4.0,19.834706944444466,124.92069797821046,592.5419999999997,21.251100000000005,52.799999999999855,5.999999999999998,0.0,58.799999999999855,18.0,396.0,229.0,93521.58084870208,47.83885859300761,57.72937089426054,0.0,25.0,266.6438999999999,47.323845,13.468563496499545,327.43630849649946,158.40000000000117,18.0,503.83630849650064,1350.2813067706218,0.0,0.0,0.0,0.0,8.0,9333.538305184013,0,3,0.0,0.0,0.0,0.0,0.0,0.0,19.834706944444466,4.0,124.92069797821046,0.0,0.0,0.0
smart,event_heavy,0,0.0,0.0,0.0,832.7029999999993,27.01006388888891,41.199999999999896,11.333333333333336,0.0,52.53333333333323,34.0,309.0,49.0,96062.67047799702,63.6147181499753,31.393029567972878,1.0,314.0,374.71634999999986,47.0473425,11.311203096159435,433.0748955961593,123.60000000000068,34.0,590.67489559616,1583.008720197709,0.0,22.0,1.0,0.0,112.0,0.0,0.0,0.0,784.9949999999997,25.213030555555576,39.86666666666657,10.666666666666668,0.0,50.53333333333323,32.0,299.0,48.0,94158.71193986735,63.7965841086772,32.69399720134283,1.0,291.0,353.2477499999998,41.680192500000004,11.073449744894813,406.00139224489465,119.60000000000062,32.0,557.6013922448952,1494.3717312163194,0.0,21.0,1.0,0.0,102.0,6917.36937386729,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed,persistent_multi_day_surge,0,27.0,414.1251597222224,3244.3342158223295,602.5999999999996,21.486804166666673,52.799999999999855,6.999999999999997,0.5,59.799999999999855,21.0,396.0,164.0,112617.0567373508,57.09897842800456,59.58574430547662,0.0,24.0,271.17,46.3325175,15.231091927049892,332.7336094270499,158.40000000000117,21.0,512.133609427051,1372.518073264497,0.0,0.0,0.0,0.0,8.0,27.0,414.1251597222224,3244.3342158223295,602.5999999999996,21.486804166666673,52.799999999999855,6.999999999999997,0.5,59.799999999999855,21.0,396.0,164.0,112617.0567373508,57.09897842800456,59.58574430547662,0.0,24.0,271.17,46.3325175,15.231091927049892,332.7336094270499,158.40000000000117,21.0,512.133609427051,1372.518073264497,0.0,0.0,0.0,0.0,8.0,9939.505359158118,0,3,0.0,0.0,0.0,0.0,0.0,0.0,219.35591111111177,13.0,2805.805697468594,194.7692486111106,14.0,438.52851835373355
smart,persistent_multi_day_surge,0,4.0,8.638486111111282,120.82535551988317,977.9009999999992,28.20398055555557,51.06666666666653,12.666666666666671,0.0,63.7333333333332,38.0,383.0,53.0,119867.97703054525,64.0815177583607,35.049116090802706,0.0,313.0,440.05545,20.407297500000006,13.23524087181862,473.69798837181867,153.2000000000011,38.0,664.8979883718198,1781.926608836477,0.0,23.0,0.0,0.0,112.0,4.0,8.638486111111282,120.82535551988317,977.9009999999992,28.20398055555557,51.06666666666653,12.666666666666671,0.0,63.7333333333332,38.0,383.0,53.0,119867.97703054525,64.0815177583607,35.049116090802706,0.0,290.0,440.05545,20.407297500000006,13.23524087181862,473.69798837181867,153.2000000000011,38.0,664.8979883718198,1781.926608836477,0.0,23.0,0.0,0.0,102.0,5812.093926266047,0,3,0.0,0.0,0.0,0.0,0.0,0.0,7.32844444444448,2.0,116.72253109998076,1.3100416666668024,2.0,4.102824419902419
fixed,localized_surge,0,13.0,190.7123180555561,1272.1832962747328,596.3069999999997,21.34786250000001,52.799999999999855,6.333333333333331,0.16666666666666666,59.133333333333184,19.0,396.0,208.0,100236.71094578842,51.3968239294298,58.61795961742013,0.0,25.0,268.33814999999987,47.358765,14.178796225483286,329.87571122548314,158.40000000000117,19.0,507.2757112254843,1359.4989060842981,0.0,0.0,0.0,0.0,8.0,13.0,190.7123180555561,1272.1832962747328,596.3069999999997,21.34786250000001,52.799999999999855,6.333333333333331,0.16666666666666666,59.133333333333184,19.0,396.0,208.0,100236.71094578842,51.3968239294298,58.61795961742013,0.0,25.0,268.33814999999987,47.358765,14.178796225483286,329.87571122548314,158.40000000000117,19.0,507.2757112254843,1359.4989060842981,0.0,0.0,0.0,0.0,8.0,9939.505359158118,0,3,0.0,0.0,0.0,0.0,0.0,0.0,105.91980277777822,7.0,1069.8162633824518,84.79251527777791,6.0,202.3670328922809
smart,localized_surge,0,2.0,4.532826388888922,109.82761739700493,972.9959999999995,29.023483333333367,45.99999999999988,13.33333333333334,0.0,59.333333333333215,40.0,345.0,52.0,104334.25074816271,62.32689878976141,28.98173631893409,0.0,317.0,437.84819999999985,29.292592499999998,10.69342795325764,477.8342204532575,138.00000000000088,40.0,655.8342204532584,1757.6357108147324,0.0,27.0,0.0,1.0,111.0,2.0,4.532826388888922,109.82761739700493,972.9959999999995,29.023483333333367,45.99999999999988,13.33333333333334,0.0,59.333333333333215,40.0,345.0,52.0,104334.25074816271,62.32689878976141,28.98173631893409,0.0,294.0,437.84819999999985,29.292592499999998,10.69342795325764,477.8342204532575,138.00000000000088,40.0,655.8342204532584,1757.6357108147324,0.0,27.0,0.0,1.0,101.0,7004.321235661491,0,3,0.0,0.0,0.0,0.0,0.0,0.0,4.532826388888922,2.0,109.82761739700493,0.0,0.0,0.0
