scenario,metric,direction_better,n_paired_replications,fixed_mean,smart_mean,beneficial_difference,beneficial_difference_ci95_low,beneficial_difference_ci95_high,beneficial_change_pct_vs_fixed,paired_sign_flip_p,paired_difference_shapiro_p,unit
normal_patterned,overflow_incidents,lower,2,6.0,4.0,2.0,-99.64963788939755,103.64963788939755,33.333333333333336,1.0,,count
normal_patterned,overflow_bin_hours,lower,2,382.0,193.0,189.0,-6901.062242785479,7279.062242785479,49.47643979057592,1.0,,bin-hours
normal_patterned,overflow_spilled_kg,lower,2,1806.3431816643674,232.5500125084344,1573.793169155933,-23235.68239401068,26383.268732322544,87.12592297693051,1.0,,kg
normal_patterned,distance_km,lower,2,766.0204999999993,1273.6085,-507.58800000000076,-880.5405214162029,-134.6354785837986,-66.26297860174776,0.49835,,km
normal_patterned,travel_time_hours,lower,2,21.950757638888895,34.61069027777779,-12.6599326388889,-24.042759680531145,-1.2771055972466563,-57.67423998368068,0.5068,,hours
normal_patterned,service_time_hours,lower,2,52.06666666666652,42.133333333333226,9.933333333333298,7.392092386098368,12.474574280568227,19.078104993597936,0.498,,hours
normal_patterned,depot_unloading_time_hours,lower,2,5.999999999999998,12.000000000000004,-6.000000000000005,-10.235401578724911,-1.7645984212751005,-100.00000000000013,0.4975,,hours
normal_patterned,turnaround_time_hours,lower,2,1.5,2.1666666666666665,-0.6666666666666665,-0.6666666666666665,-0.6666666666666665,-44.444444444444436,0.5031,,hours
normal_patterned,idling_time_hours,lower,2,58.06666666666652,54.133333333333226,3.9333333333332945,-2.843309192626518,10.709975859293106,6.77382319173359,0.49785,,hours
normal_patterned,collection_trips,lower,2,18.0,36.0,-18.0,-30.706204736174694,-5.293795263825306,-100.0,0.5017,,count
normal_patterned,collection_stops,lower,2,390.5,315.5,75.0,49.58759052765061,100.4124094723494,19.206145966709347,0.4971,,count
normal_patterned,wasted_pickups,lower,2,197.5,39.5,158.0,-83.41788998731917,399.4178899873192,80.0,0.49825,,count
normal_patterned,base_driving_fuel_l,lower,2,344.70922500000006,573.123825,-228.41459999999998,-396.24323463729286,-60.58596536270713,-66.26297860174759,0.50455,,litres
normal_patterned,traffic_fuel_penalty_l,lower,2,21.221988750000012,28.68926625000001,-7.4672775,-10.383923266165173,-4.550631733834827,-35.18651144323124,0.50435,,litres
