scenario,policy,fleet,general_trips,recycling_trips,distance_km,collection_trips,collection_stops,wasted_pickups,overflow_incidents,overflow_bin_hours,overflow_spilled_kg,overflow_bin_hours_mixed_general_waste,overflow_bin_hours_plastic_cups,overflow_bin_hours_metal_cans,overflow_bin_hours_glass_bottles,base_driving_fuel_l,traffic_fuel_penalty_l,payload_fuel_penalty_l,collection_idle_fuel_l,depot_idle_fuel_l,fuel_l,unserved_required_bins,unfinished_trip_count,uncollected_kg_at_horizon,worst_fuel_l,worst_overflow_bin_hours,worst_overflow_spilled_kg
abrupt_behavior_change,current_6h,g1_r1,19.5,27.0,1157.7295000000001,46.5,441.5,74.0,3.0,6.953284722222216,25.738079660805433,1.857145833333387,5.09613888888883,0.0,0.0,520.9782749999999,43.1283375,15.087225367322,176.60000000000144,46.5,802.2938378673234,0.5,0.0,10094.724927994286,823.9508988064574,13.40179444444446,42.929848075783596
abrupt_behavior_change,fixed_baseline,g1_r1,9.0,15.0,611.9224999999994,24.0,396.0,115.5,64.0,633.601545833335,3048.6604867473916,395.422204861112,238.1793409722229,0.0,0.0,275.36512500000003,46.69549875000001,17.203068554974095,158.40000000000117,24.0,521.6636923049753,0.0,0.0,15187.926097024625,522.0653999381235,666.5751458333349,3111.888973333909
combined_demand_operational_stress,current_6h,g1_r1,14.5,27.5,1013.4539999999993,42.0,615.5,246.5,37.5,409.51509427083545,3174.259627729565,245.12564479166764,157.93356083333467,0.0,6.455888645833329,456.05429999999984,254.57063231250007,43.33872645557006,246.20000000000243,42.0,1042.1636587680723,0.5,0.0,12388.112669975497,1047.8332202238262,430.22381479166893,3409.648628578029
combined_demand_operational_stress,fixed_baseline,g1_r1,15.5,18.0,779.9679999999996,33.5,378.5,39.5,174.0,3615.2436481250024,24917.83688028848,1381.4915589583366,1241.0726507291665,254.3627290625001,738.3167093750002,350.98559999999986,195.7119727500001,34.38513693634128,151.8000000000011,33.5,766.3827096863424,17.5,0.0,18065.065894100906,770.703605215229,3866.0611377083374,25496.843240288737
event_heavy,current_6h,g1_r1,16.0,20.5,925.4259999999995,36.5,331.0,41.0,0.5,0.1822083333333315,4.241963566048867,0.1822083333333315,0.0,0.0,0.0,416.4416999999999,38.95751250000001,11.774690034423255,132.4000000000008,36.5,636.073902534424,0.0,0.0,8925.379420105,648.1446117882142,0.364416666666663,8.483927132097733
event_heavy,fixed_baseline,g1_r1,9.0,10.0,594.1539999999998,19.0,396.0,184.0,2.0,12.291403472222198,27.52784827074492,3.885122222222231,8.406281249999967,0.0,0.0,267.36929999999995,46.95003,14.769487037759243,158.40000000000117,19.0,506.4888170377604,0.0,0.0,10116.431134720093,507.8531901831066,24.582806944444396,55.05569654148984
gradual_upward_trend,current_6h,g1_r1,16.5,25.5,995.9654999999997,42.0,363.5,49.0,2.0,12.006828472222221,38.220515429370344,3.4143701388888763,8.592458333333344,0.0,0.0,448.1844749999999,40.40548875,12.832237838617317,145.400000000001,42.0,688.8222015886182,0.5,0.0,7927.307938756316,695.9462272585374,17.184916666666687,46.36018210635814
gradual_upward_trend,fixed_baseline,g1_r1,9.0,10.5,597.2029999999997,19.5,396.0,166.0,4.5,27.453782638888946,96.30260343591212,16.136838194444483,11.316944444444463,0.0,0.0,268.74134999999995,47.31503624999999,15.747048715778579,158.40000000000117,19.5,509.7034349657797,0.0,0.0,11735.083170306616,510.47041303290223,54.90756527777789,192.60520687182424
high_demand_seasonal,current_6h,g1_r1,21.5,31.0,1334.7414999999996,52.5,517.0,72.5,6.0,11.878004166666724,74.9843085486826,2.7612562500000193,9.116747916666704,0.0,0.0,600.6336749999998,47.696332500000025,17.92197170024688,206.80000000000186,52.5,925.5519792002485,0.5,0.0,12213.893456735283,929.1377197233286,11.966009722222363,97.03230636657084
high_demand_seasonal,fixed_baseline,g1_r1,9.0,18.0,628.8774999999995,27.0,396.0,62.0,127.5,1317.012809027779,6395.286110153424,771.4005159722233,545.6122930555559,0.0,0.0,282.994875,45.802777500000005,18.47021018567969,158.40000000000117,27.0,532.6678626856808,0.0,0.0,15601.250671958673,534.0848233893657,1387.4788638888901,6949.782811923518
