metric,direction_better,n_paired_replications,fixed_mean,smart_mean,beneficial_difference,beneficial_difference_ci95_low,beneficial_difference_ci95_high,beneficial_change_pct_vs_fixed,paired_sign_flip_p,paired_difference_shapiro_p,unit
overflow_incidents,lower,30,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,count
overflow_bin_hours,lower,30,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,bin-hours
overflow_spilled_kg,lower,30,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,kg
distance_km,lower,30,551.2618000000001,523.2791,27.982700000000072,19.661919310122776,36.30348068987737,5.076118098515091,5e-05,0.603666176389327,km
collection_trips,lower,30,19.0,17.6,1.4,1.025308468264094,1.7746915317359058,7.368421052631579,5e-05,0.014502128790140545,count
collection_stops,lower,30,330.0,282.53333333333336,47.46666666666667,44.652234600464865,50.28109873286847,14.383838383838384,5e-05,0.008533683895421319,count
wasted_pickups,lower,30,33.36666666666667,27.8,5.566666666666666,2.1433830165093966,8.989950316823936,16.683316683316683,0.00275,0.48406818138819735,count
fuel_l,lower,30,248.06780999999998,235.475595,12.592215000000035,8.847863689555252,16.33656631044482,5.076118098515094,5e-05,0.6036661763893184,litres
co2_kg,lower,30,664.8217308,631.0745946000001,33.74713620000004,23.712274688008026,43.78199771199206,5.076118098515086,5e-05,0.6036661763893273,kg
uncollected_kg_at_horizon,lower,30,10745.280975855974,7174.2855594503535,3570.9954164056226,2852.1115166891204,4289.879316122125,33.23315066799503,5e-05,0.35375557946980574,kg
collected_kg,higher,30,102065.43818346068,105636.43359986627,3570.9954164056167,2852.1115166891145,4289.879316122119,3.4987312845184877,5e-05,0.3537555794697894,kg
mean_fill_at_collection_pct,higher,30,57.27577900306434,69.27113871856517,11.99535971550081,11.407291729440963,12.583427701560655,20.94316292906123,5e-05,0.23153852656850765,%
truck_utilization_pct,higher,30,59.6873907505618,66.90557208668626,7.218181336124462,5.700219181609073,8.73614349063985,12.093310237483486,5e-05,0.983471442118303,%
routing_fallbacks,lower,30,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,count
