scenario,policy,metric,n_replications,mean,sd,ci95_low,ci95_high,unit
base,fixed,overflow_incidents,30,0.0,0.0,0.0,0.0,count
base,fixed,overflow_bin_hours,30,0.0,0.0,0.0,0.0,bin-hours
base,fixed,overflow_spilled_kg,30,0.0,0.0,0.0,0.0,kg
base,fixed,distance_km,30,511.72966666666656,0.9436523809602513,511.3773010766496,512.0820322566835,km
base,fixed,travel_time_hours,30,16.876252314814824,0.10009923693866479,16.838874645457125,16.913629984172523,hours
base,fixed,service_time_hours,30,39.5999999999999,0.0,39.5999999999999,39.5999999999999,hours
base,fixed,depot_unloading_time_hours,30,5.999999999999998,0.0,5.999999999999998,5.999999999999998,hours
base,fixed,turnaround_time_hours,30,1.5,0.0,1.5,1.5,hours
base,fixed,idling_time_hours,30,45.5999999999999,0.0,45.5999999999999,45.5999999999999,hours
base,fixed,collection_trips,30,18.0,0.0,18.0,18.0,count
base,fixed,collection_stops,30,297.0,0.0,297.0,297.0,count
base,fixed,wasted_pickups,30,0.5666666666666667,0.7279320417946062,0.2948523751177069,0.8384809582156264,count
base,fixed,base_driving_fuel_l,30,230.27834999999993,0.4246435714320993,230.1197854844923,230.43691451550757,litres
base,fixed,traffic_fuel_penalty_l,30,34.21054125000003,0.46798470380652163,34.03579288968975,34.3852896103103,litres
base,fixed,payload_fuel_penalty_l,30,12.034165526035991,0.04265386478017114,12.018238311170625,12.050092740901357,litres
base,fixed,driving_fuel_l,30,276.52305677603596,0.8970940934880612,276.1880763362781,276.85803721579384,litres
base,fixed,collection_idle_fuel_l,30,118.80000000000061,0.0,118.80000000000061,118.80000000000061,litres
base,fixed,depot_idle_fuel_l,30,18.0,0.0,18.0,18.0,litres
base,fixed,fuel_l,30,413.3230567760365,0.8970940934880617,412.9880763362786,413.65803721579437,litres
base,fixed,co2_kg,30,1107.705792159778,2.4042121705480044,1106.8080445812268,1108.6035397383291,kg
base,fixed,collected_kg,30,102669.35496905912,348.45764420126227,102539.23874631409,102799.47119180414,kg
base,fixed,mean_fill_at_collection_pct,30,64.01630812386776,0.21727001134882787,63.9351781682966,64.09743807943892,%
base,fixed,truck_utilization_pct,30,63.37614504262908,0.21509731123534775,63.29582638661364,63.45646369864453,%
base,fixed,unserved_required_bins,30,0.0,0.0,0.0,0.0,count
base,fixed,inspection_events,30,12.433333333333334,3.692334401612797,11.054593008808068,13.8120736578586,count
base,fixed,routing_fallbacks,30,0.0,0.0,0.0,0.0,count
base,fixed,overflow_incidents_post_warmup,30,0.0,0.0,0.0,0.0,count
base,fixed,overflow_bin_hours_post_warmup,30,0.0,0.0,0.0,0.0,bin-hours
base,fixed,overflow_spilled_kg_post_warmup,30,0.0,0.0,0.0,0.0,kg
base,fixed,distance_km_post_warmup,30,511.72966666666656,0.9436523809602513,511.3773010766496,512.0820322566835,km
