policy,scenario,replication,overflow_incidents,overflow_bin_hours,overflow_spilled_kg,distance_km,travel_time_hours,service_time_hours,depot_unloading_time_hours,turnaround_time_hours,idling_time_hours,collection_trips,collection_stops,wasted_pickups,collected_kg,mean_fill_at_collection_pct,truck_utilization_pct,unserved_required_bins,inspection_events,base_driving_fuel_l,traffic_fuel_penalty_l,payload_fuel_penalty_l,driving_fuel_l,collection_idle_fuel_l,depot_idle_fuel_l,fuel_l,co2_kg,routing_fallbacks,overflow_incidents_post_warmup,overflow_bin_hours_post_warmup,overflow_spilled_kg_post_warmup,distance_km_post_warmup,travel_time_hours_post_warmup,service_time_hours_post_warmup,depot_unloading_time_hours_post_warmup,turnaround_time_hours_post_warmup,idling_time_hours_post_warmup,collection_trips_post_warmup,collection_stops_post_warmup,wasted_pickups_post_warmup,collected_kg_post_warmup,mean_fill_at_collection_pct_post_warmup,truck_utilization_pct_post_warmup,unserved_required_bins_post_warmup,inspection_events_post_warmup,base_driving_fuel_l_post_warmup,traffic_fuel_penalty_l_post_warmup,payload_fuel_penalty_l_post_warmup,driving_fuel_l_post_warmup,collection_idle_fuel_l_post_warmup,depot_idle_fuel_l_post_warmup,fuel_l_post_warmup,co2_kg_post_warmup,routing_fallbacks_post_warmup,uncollected_kg_at_horizon,unfinished_trip_count,analysis_warmup_days
fixed,base,0,0.0,0.0,0.0,511.8789999999999,16.892093055555563,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,0.0,103098.9394443872,64.284162267357,63.64132064468346,0.0,14.0,230.34554999999992,34.28460000000002,12.090022588857703,276.7201725888577,118.80000000000061,18.0,413.52017258885826,1108.2340625381403,0.0,0.0,0.0,0.0,511.8789999999999,16.892093055555563,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,0.0,103098.9394443872,64.284162267357,63.64132064468346,0.0,14.0,230.34554999999992,34.28460000000002,12.090022588857703,276.7201725888577,118.80000000000061,18.0,413.52017258885826,1108.2340625381403,0.0,9981.428087941364,0,3
smart,base,0,0.0,0.0,0.0,663.5149999999995,21.54631111111111,44.66666666666655,7.33333333333333,0.5,51.99999999999988,22.0,335.0,85.0,107469.04020761902,59.40798242543888,54.277293034151015,0.0,61.0,298.5817499999999,47.386417500000015,14.001386113782294,359.9695536137822,134.00000000000082,22.0,515.969553613783,1382.7984036849384,0.0,0.0,0.0,0.0,635.6289999999997,20.554559722222223,41.86666666666656,6.999999999999997,0.5,48.86666666666656,21.0,314.0,64.0,103251.09562580154,60.8935454268704,54.630209325820914,0.0,58.0,286.03304999999995,45.65025000000001,13.542286042222996,345.225586042223,125.6000000000007,21.0,491.8255860422237,1318.0925705931595,0.0,5611.327324709532,0,3
fixed,high_demand,0,74.0,566.0,3201.8616511280625,508.16799999999984,16.32772361111112,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,295.0,0.0,146190.02655246382,91.7702614893056,90.24075713115052,2.0,14.0,228.67559999999997,31.3926075,17.346849505897453,277.41505700589744,118.80000000000061,18.0,414.2150570058981,1110.096352775807,0.0,73.0,561.0,3154.0324101779725,508.16799999999984,16.32772361111112,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,295.0,0.0,146190.02655246382,91.7702614893056,90.24075713115052,2.0,14.0,228.67559999999997,31.3926075,17.346849505897453,277.41505700589744,118.80000000000061,18.0,414.2150570058981,1110.096352775807,0.0,14574.644718284499,0,3
smart,high_demand,0,0.0,0.0,0.0,943.7479999999997,30.67594305555556,66.13333333333325,10.333333333333334,1.1666666666666665,76.46666666666658,31.0,494.0,95.0,161547.313838831,60.55904702310348,57.90226302467061,2.0,61.0,424.6865999999998,64.50914249999998,20.94669622530427,510.1424387253041,198.40000000000174,31.0,739.5424387253058,1981.9737357838198,0.0,0.0,0.0,0.0,887.6689999999999,29.00893333333334,61.73333333333316,9.666666666666666,0.9999999999999999,71.39999999999982,29.0,461.0,89.0,151638.81992906143,60.91380249419995,58.09916472377832,2.0,58.0,399.4510499999997,62.004329999999996,19.864305089782743,481.31968508978247,185.20000000000155,29.0,695.519685089784,1863.9927560406213,0.0,2419.2190830454324,0,3
fixed,traffic,0,0.0,0.0,0.0,511.8789999999999,22.361175000000006,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,0.0,103166.42134476788,64.32623852398545,63.68297613874561,0.0,14.0,230.34554999999992,122.54846625000002,16.158627955090232,369.0526442050902,118.80000000000061,18.0,505.85264420509077,1355.6850864696432,0.0,0.0,0.0,0.0,511.8789999999999,22.361175000000006,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,0.0,103166.42134476788,64.32623852398545,63.68297613874561,0.0,14.0,230.34554999999992,122.54846625000002,16.158627955090232,369.0526442050902,118.80000000000061,18.0,505.85264420509077,1355.6850864696432,0.0,9913.946187560634,0,3
smart,traffic,0,0.0,0.0,0.0,652.4679999999995,28.616848125000008,43.86666666666655,7.33333333333333,0.5,51.19999999999988,22.0,329.0,76.0,106906.02433628245,60.17450429825643,53.99294158398104,0.0,61.0,293.6105999999997,165.56669550000015,18.97215319024984,478.1494486902497,131.6000000000008,22.0,631.7494486902505,1693.0885224898714,0.0,0.0,0.0,0.0,624.5819999999995,27.27798375000001,41.06666666666656,6.999999999999997,0.5,48.06666666666656,21.0,308.0,55.0,102652.07093699941,61.71961937049026,54.31326504603144,0.0,58.0,281.06189999999975,158.83082437500013,18.346682734527917,458.2394071095278,123.20000000000067,21.0,602.4394071095285,1614.5376110535365,0.0,6174.343196046033,0,3
fixed,sensor_failure,0,0.0,0.0,0.0,510.9829999999999,16.797048611111116,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,0.0,103098.9394443872,64.28416226735698,63.64132064468346,0.0,130.0,229.9423499999999,33.840247500000025,12.07582276883737,275.8584202688373,118.80000000000061,18.0,412.65842026883786,1105.9245663204856,0.0,0.0,0.0,0.0,510.9829999999999,16.797048611111116,39.5999999999999,5.999999999999998,1.5,45.5999999999999,18.0,297.0,0.0,103098.9394443872,64.28416226735698,63.64132064468346,0.0,130.0,229.9423499999999,33.840247500000025,12.07582276883737,275.8584202688373,118.80000000000061,18.0,412.65842026883786,1105.9245663204856,0.0,9981.428087941364,0,3
smart,sensor_failure,0,0.0,0.0,0.0,1324.8639999999998,44.802905555555554,49.066666666666535,14.666666666666675,0.0,63.733333333333206,44.0,368.0,138.0,108947.60536001634,54.824680636079066,27.51202155555968,0.0,831.0,596.1887999999999,116.61749999999992,15.383362270963007,728.1896622709629,147.200000000001,44.0,919.389662270964,2463.964294886184,0.0,0.0,0.0,0.0,1297.7459999999994,43.72040000000001,48.133333333333205,14.333333333333341,0.0,62.46666666666655,43.0,361.0,131.0,107597.73636409921,55.19530951272146,27.80303265222202,0.0,751.0,583.9856999999998,113.56672499999993,15.208118316679153,712.7605433166789,144.40000000000097,43.0,900.1605433166799,2412.430256088702,0.0,4132.762172312221,0,3
fixed,truck_capacity,0,6.0,673.0,3172.980065612088,539.3399999999997,17.65163472222223,38.799999999999905,5.999999999999998,1.5,44.799999999999905,18.0,284.0,0.0,99353.99537860557,64.78481701787008,94.35327196448773,13.0,14.0,242.70299999999997,34.563465000000015,19.038329009509248,296.30479400950924,116.40000000000057,18.0,430.7047940095098,1154.2888479454864,0.0,6.0,673.0,3172.980065612088,539.3399999999997,17.65163472222223,38.799999999999905,5.999999999999998,1.5,44.799999999999905,18.0,284.0,0.0,99353.99537860557,64.78481701787008,94.35327196448773,13.0,14.0,242.70299999999997,34.563465000000015,19.038329009509248,296.30479400950924,116.40000000000057,18.0,430.7047940095098,1154.2888479454864,0.0,10553.39208811086,0,3
smart,truck_capacity,0,0.0,0.0,0.0,689.2520000000002,21.796734722222222,40.7999999999999,8.33333333333333,1.1666666666666665,49.133333333333226,25.0,306.0,67.0,104311.38412654474,63.127199301951535,71.32402333438957,0.0,57.0,310.1633999999999,49.991804999999985,18.53801598634478,378.69322098634467,122.40000000000066,25.0,526.0932209863454,1409.9298322434058,0.0,0.0,0.0,0.0,661.366,20.804983333333332,37.99999999999991,7.9999999999999964,1.1666666666666665,45.9999999999999,24.0,285.0,46.0,100093.43954472724,65.03797241372793,71.29162360735559,0.0,54.0,297.61469999999997,48.25563749999999,17.831708183945864,363.7020456839458,114.00000000000054,24.0,501.7020456839464,1344.5614824329764,0.0,8768.983405783774,0,3
